SYMBOL,SERIES,SECURITY,HIGH/LOW,INDEX FLAG
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
A2ZINFRA,BE,A2Z INFRA ENGINEERING LTD,H
ABAN,EQ,ABAN OFFSHORE LTD.,H
ABINFRA,SM,A B INFRABUILD LIMITED,H
ABMINTLTD,EQ,ABM INTERNATIONAL LTD,H
ACCORD,SM,ACCORD SYNERGY LIMITED,H
ACCURACY,EQ,ACCURACY SHIPPING LIMITED,H
ADANIPOWER,EQ,ADANI POWER LTD,H
ADL,BE,ARCHIDPLY DECOR LIMITED,H
ADROITINFO,EQ,ADROIT INFOTECH LIMITED,H
AGARIND,EQ,AGARWAL INDS CORP LTD.,H
AJOONI,BE,AJOONI BIOTECH LIMITED,H
ALCHEM,BZ,ALCHEMIST LTD,H
ALKALI,EQ,ALKALI METALS LTD,H
ALPSINDUS,EQ,ALPS INDUSTRIES LTD,H
AMBANIORG,SM,AMBANI ORGANICS LIMITED,H
ANDHRACEMT,BE,ANDHRA CEMENTS LIMITED,H
ANIKINDS,EQ,ANIK INDUSTRIES LTD,H
ANKITMETAL,BE,ANKIT MET & POW LTD,H
ANSALAPI,EQ,ANSAL PROP & INFRA LTD,H
ANSALHSG,EQ,ANSAL HOUSING LIMITED,H
ANTGRAPHIC,BE,ANTARCTICA LTD,H
ARCOTECH,BZ,ARCOTECH LIMITED,H
ARENTERP,EQ,RAJDARSHAN INDUSTRIES LTD,H
ARIHANT,EQ,ARIHANT FOUN & HOU LTD,H
ARIHANTSUP,BE,ARIHANT SUPERSTRUCT LTD,H
ARROWGREEN,BE,ARROW GREENTECH LIMITED,H
ARTEMISMED,BE,ARTEMIS MED SERVICE LTD,H
ARVEE,BE,ARVEE LABORATORIES I LTD,H
ASAL,EQ,AUTOMOTIVE STAMPINGS & AS,H
ATLANTA,EQ,ATLANTA LIMITED,H
ATLASCYCLE,BZ,ATLAS CYCLE (HARYANA) LTD,H
ATNINTER,BE,ATN INTERNATIONAL LTD,H
AUTOIND,EQ,AUTOLINE INDUSTRIES LTD,H
AVADHSUGAR,EQ,AVADH SUG & ENERGY LTD,H
AXISCADES,EQ,AXISCADES TECH LTD,H
BAGFILMS,BE,B.A.G FILMS AND MEDIA LTD,H
BAJAJHIND,EQ,BAJAJ HINDUSTHAN SUGAR LT,H
BALLARPUR,BZ,BALLARPUR INDUSTRIES LTD,H
BARTRONICS,BZ,BARTRONICS INDIA LIMITED,H
BCG,EQ,BRIGHTCOM GROUP LIMITED,H
BEARDSELL,BE,BEARDSELL LIMITED,H
BEDMUTHA,EQ,BEDMUTHA INDUST LTD,H
BGLOBAL,BE,BHARATIYA GLOBAL INFO LTD,H
BIGBLOC,EQ,BIGBLOC CONSTRUCTION LTD,H
BILENERGY,BZ,BIL ENERGY SYSTEMS LTD,H
BLKASHYAP,EQ,B.L.KASHYAP & SON LTD,H
BLUECHIP,BE,BLUE CHIP INDIA LIMITED,H
BRIGHT,SM,BRIGHT SOLAR LIMITED,H
BSL,EQ,BSL LTD,H
CANDC,BZ,C&C CONST. LTD,H
CCHHL,BE,COUNTRY CLUB HOSP HOL LTD,H
CEBBCO,EQ,COMMERCIAL ENG & CO. LTD,H
CHROMATIC,BZ,CHROMATIC INDIA LTD,H
CKPLEISURE,SZ,CKP LEISURE LIMITED,H
CLEDUCATE,EQ,CL EDUCATE LIMITED,H
COFFEEDAY,EQ,COFFEE DAY ENTERPRISE LTD,H
CONSOFINVT,EQ,CONSO. FIN. & HOLD. LTD.,H
COUNCODOS,EQ,COUNTRY CONDO'S LIMITED,H
COX&KINGS,BZ,COX & KINGS LIMITED,H
CROWN,SM,CROWN LIFTERS LTD.,H
DALALSTCOM,BE,DSJ COMMUNICATIONS LTD.,H
DALMIASUG,EQ,DALMIA BHARAT SUG IN LTD,H
DBREALTY,EQ,D B REALTY LIMITED,H
DBSTOCKBRO,BE,DB (INT) STOCK BROKERS,H
DCM,EQ,DCM LTD,H
DCMNVL,EQ,DCM NOUVELLE LIMITED,H
DELTAMAGNT,EQ,DELTA MANUFACTURING LTD,H
DHANI,EQ,DHANI SERVICES LIMITED,H
DHANIPP,E1,DHANI RS.1.10 PPD UP,H
DHARSUGAR,EQ,DHARANI SUGARS & CHEMICAL,H
DHFL,EQ,DEWAN HOUSING FIN CORP LT,H
DHFL,N4,SEC RED NCD 8.88% SR. 2B,H
DIAPOWER,BZ,DIAMOND POWER INFRA LTD,H
DIGISPICE,EQ,DIGISPICE TECHNOLOGIES LT,H
DNAMEDIA,EQ,DILIGENT MEDIA CORP LTD.,H
DPSCLTD,EQ,DPSC LIMITED,H
DQE,BZ,DQ ENTERTAINMENT INT LTD,H
DUCON,EQ,DUCON INFRATECHNOLOGIES L,H
E2E,SM,E2E NETWORKS LIMITED,H
EASTSILK,BE,EASTERN SILK INDUSTRIES L,H
EASUNREYRL,BZ,EASUN REYROLLE LTD,H
EDUCOMP,BZ,EDUCOMP SOLUTIONS LTD,H
EMCO,BZ,EMCO LIMITED,H
EMKAYTOOLS,SM,EMKAY TAP & CUT. TOOL LTD,H
ENERGYDEV,EQ,ENERGY DEVE. CO.LTD,H
EUROMULTI,BZ,EURO MULTIVISION LTD,H
EXCEL,BE,EXCEL REALTY N INFRA LTD,H
FCSSOFT,BE,FCS SOFTWARE SOLN. LTD.,H
FELDVR,EQ,FUTURE ENTERPRISES LTD,H
FILDF2GP,MF,FRANTEMAMC - FILDF2GP,H
FILDF2GPD,MF,FRANTEMAMC - FILDF2GPD,H
FLEXITUFF,BE,FLEXITUFF VENTURES INT L,H
FMNL,EQ,FUTURE MKT NETWORKS LTD,H
FOCUS,SM,FOCUS LIGHTG & FIXTRS LTD,H
GAL,BE,GYSCOAL ALLOYS LTD,H
GAMMNINFRA,EQ,GAMMON INFRA PROJ LTD.,H
GANESHHOUC,EQ,GANESH HOUSING CORP LTD,H
GANGOTRI,BE,GANGOTRI TEXTILES LTD.,H
GENESYS,EQ,GENESYS INTL CORPN LTD,H
GISOLUTION,EQ,GI ENGINEERING SOLNS LTD,H
GLOBAL,EQ,GLOBAL EDUCATION LIMITED,H
GLOBE,BE,GLOBE TEXTILES (I) LTD.,H
GMBREW,EQ,G M BREWERIES LTD,H
GOACARBON,EQ,GOA CARBON LIMITED,H
GOENKA,BZ,GOENKA DIAMOND&JEWELS LTD,H
GREENPOWER,EQ,ORIENT GREEN POWER CO LTD,H
GTL,EQ,GTL LTD,H
GULFPETRO,EQ,GP PETROLEUMS LIMITED,H
GVKPIL,BZ,GVK POW. & INFRA LTD.,H
HAVISHA,BE,SRI HAVISHA HOSP & INFR L,H
HCC,EQ,HINDUSTAN CONSTRUCTION CO,H
HCL-INSYS,EQ,HCL INFOSYSTEMS LTD,H
HDIL,BZ,HOUSING DEV & INFRA LTD,H
HEMIPROP,EQ,HEMISPHERE PROP IND LTD,H
HINDCON,SM,HINDCON CHEMICALS LIMITED,H
HLVLTD,EQ,HLV LIMITED,H
HOVS,EQ,HOV SERVICES LTD,H
HUBTOWN,EQ,HUBTOWN LIMITED,H
IFCI,EQ,IFCI LTD,H
IIFL,EQ,IIFL FINANCE LIMITED,H
IL&FSENGG,BZ,IL&FS ENG AND CONS CO LTD,H
IL&FSTRANS,BZ,IL&FS TRANS NET LTD,H
IMAGICAA,BE,IMAGICAAWORLD ENT LTD,H
IMPEXFERRO,BE,IMPEX FERRO TECH LIMITED,H
INDOSOLAR,BZ,INDOSOLAR LIMITED,H
INDOWIND,EQ,INDOWIND ENERGY LTD,H
INDSWFTLTD,BE,IND-SWIFT LIMITED,H
INDTERRAIN,EQ,IND TERRAIN FASHIONS LTD,H
INTEGRA,BE,INTEGRA GARMENT & TEX LTD,H
IRCTC,EQ,INDIAN RAIL TOUR CORP LTD,H
ISMTLTD,BE,ISMT LIMITED,H
IVC,BE,IL&FS INVESTMENT MANAGERS,H
JALAN,SM,JALAN TRANSOLU. INDIA LTD,H
JAYBARMARU,EQ,JAY BHARAT MARUTI LTD,H
JAYNECOIND,EQ,JAYASWAL NECO INDUSTR LTD,H
JETFREIGHT,SM,JET FREIGHT LOGISTICS LTD,H
JHS,EQ,JHS SVEND. LAB. LTD,H
JIKIND,BE,JIK INDUSTRIES LTD,H
JINDCOT,BE,JINDAL COTEX LTD,H
JITFINFRA,BE,JITF INFRALOGISTICS LTD,H
JIYAECO,BE,JIYA ECO-PRODUCTS LTD,H
JPINFRATEC,BE,JAYPEE INFRATECH LTD,H
JPOLYINVST,BE,JIND POL INV & FIN CO LTD,H
JUMPNET,EQ,JUMP NETWORKS LIMITED,H
JYOTISTRUC,BZ,JYOTI STRUCTURES LTD,H
KALYANIFRG,BE,KALYANI FORGE LIMITED,H
KAMATHOTEL,BE,KAMAT HOTELS (I) LTD,H
KANANIIND,EQ,KANANI INDUSTRIES LTD,H
KANORICHEM,EQ,KANORIA CHEMICALS & INDUS,H
KARMAENG,EQ,KARMA ENERGY LIMITED,H
KAVVERITEL,BE,KAVVERI TEL. LTD.,H
KCPSUGIND,EQ,KCP SUGAR IND CORP LTD.,H
KDDL,EQ,KDDL LIMITED,H
KECL,BE,KIRLOSKAR ELECTRIC CO LTD,H
KERNEX,BE,KERNEX MICROSYS(I) LTD,H
KHAITANLTD,BE,KHAITAN (INDIA)LTD.,H
KIRLOSBROS,EQ,KIRLOSKAR BROTHERS LTD,H
KMSUGAR,EQ,K M SUGAR MILLS LTD,H
KOTARISUG,EQ,KOTHARI SUG & CHEM LTD.,H
KRIDHANINF,BE,KRIDHAN INFRA LIMITED,H
KSERASERA,BZ,KSS LIMITED,H
LAKPRE,BZ,LAKSHMI PRE SCRE LTD,H
LEXUS,SM,LEXUS GRANITO (INDIA) LTD,H
LGBFORGE,EQ,LGB FORGE LIMITED,H
LGHL,SM,LAXMI GOLDORNA HOUSE LTD,H
LIBAS,EQ,LIBAS CONSU PRODUCTS LTD,H
LICNETFN50,EQ,LICNAMC - LICNFENGP,H
LPDC,EQ,LANDMARK PR.DEV.CO.LTD,H
LSIL,BE,LLOYDS STEELS IND. LTD.,H
LYPSAGEMS,EQ,LYPSA GEMS & JEWEL LTD,H
MADHUCON,EQ,MADHUCON PROJECTS LTD.,H
MAGADSUGAR,EQ,MAGADH SUGAR & ENERGY LTD,H
MAGMA,EQ,MAGMA FINCORP LIMITED,H
MAGNUM,BE,MAGNUM VENTURES LTD.,H
MAJESCO,EQ,MAJESCO LIMITED,H
MANAKCOAT,EQ,MAN COAT METAL & IND LTD,H
MANGTIMBER,EQ,MANGALAM TIMBER PRODUCTS,H
MARATHON,EQ,MARATHON NXTGEN REALT LTD,H
MARINE,EQ,MARINE ELECTRICAL (I) LTD,H
MASKINVEST,BE,MASK INVESTMENTS LIMITED,H
MAWANASUG,EQ,MAWANA SUGARS LIMITED,H
MAZDOCK,EQ,MAZAGON DOCK SHIPBUIL LTD,H
MBECL,BE,MCNALLY BH. ENG. CO.LTD,H
MCDHOLDING,EQ,MCDOWELL HOLDINGS LTD.,H
MCLEODRUSS,EQ,MCLEOD RUSSEL INDIA LTD.,H
MELSTAR,BZ,MELSTAR INFORMATION TECH,H
MEP,EQ,MEP INFRA. DEVELOPERS LTD,H
MERCATOR,EQ,MERCATOR LIMITED,H
METALFORGE,BZ,METALYST FORGINGS LIMITED,H
MHHL,SM,MOHINI HEALTH&HYGIENE LTD,H
MOHITIND,EQ,MOHIT INDUSTRIES LTD,H
MOHOTAIND,EQ,MOHOTA INDUSTRIES LIMITED,H
MSPL,BE,MSP STEEL & POWER LTD.,H
MTNL,EQ,MAHANAGAR TELEPHONE NIGAM,H
MUKANDENGG,BE,MUKAND ENGINEERS LIMITED,H
NAHARINDUS,EQ,NAHAR INDS ENT LTD,H
NANDANI,SM,NANDANI CREATION LIMITED,H
NDL,BE,NANDAN DENIM LIMITED,H
NETF,EQ,TATAAML - NETF,H
NEXTMEDIA,EQ,NEXT MEDIAWORKS LIMITED,H
NIBL,BE,NRB INDUS. BEARINGS LTD.,H
NILAINFRA,EQ,NILA INFRASTRUCTURES LTD,H
NILASPACES,EQ,NILA SPACES LIMITED,H
NITINFIRE,BZ,NITIN FIRE PROT IND. LTD.,H
ONELIFECAP,EQ,ONELIFE CAP ADVISORS LTD,H
ORICONENT,EQ,ORICON ENTERPRISES LTD,H
ORIENTLTD,EQ,ORIENT PRESS LIMITED,H
ORTEL,BZ,ORTEL COMMUNICATIONS LTD,H
PAEL,BZ,PAE LIMITED,H
PALASHSECU,EQ,PALASH SECURITIES LTD,H
PAR,SM,PAR DRUGS AND CHEM LTD,H
PARSVNATH,EQ,PARSVNATH DEVELOPER LTD,H
PBAINFRA,EQ,PBA INFRASTRUCTURE LTD.,H
PDPL,BE,PARENTERAL DRUGS LTD,H
PEARLPOLY,EQ,PEARL POLYMERS LTD,H
PENINLAND,BE,PENINSULA LAND LIMITED,H
PGEL,EQ,PG ELECTROPLAST LTD,H
PNBHOUSING,EQ,PNB HOUSING FIN LTD.,H
PRADIP,BE,PRADIP OVERSEAS LTD,H
PRAKASHSTL,BE,PRAKASH STEELAGE LTD,H
PRAXIS,EQ,PRAXIS HOME RETAIL LTD,H
PREMIER,BE,PREMIER LIMITED,H
PROINDIA,EQ,PROSEED INDIA LTD,H
PROLIFE,SM,PROLIFE INDUSTRIES LTD,H
PROZONINTU,BE,PROZONE INTU PROPRTIS LTD,H
PULZ,SM,PULZ ELECTRONICS LIMITED,H
PUNJLLOYD,BZ,PUNJ LLOYD LIMITED,H
QUINTEGRA,BE,QUINTEGRA SOLUTIONS LTD.,H
RAJSREESUG,EQ,RAJSHREE SUGAR & CHEMICAL,H
RAJVIR,BE,RAJVIR INDUSTRIES LIMITED,H
RAMKY,EQ,RAMKY INFRA LTD,H
RAMSARUP,BZ,RAMSARUP INDUSTRIES LTD,H
RANASUG,EQ,RANA SUGARS LTD.,H
RCOM,EQ,RELIANCE COMMUNICATIONS L,H
REGENCERAM,BE,REGENCYCERAMICS-LTD,H
RELCAPITAL,EQ,RELIANCE CAPITAL LTD,H
RELINFRA,EQ,RELIANCE INFRASTRUCTU LTD,H
REMSONSIND,EQ,REMSONS INDUSTRIES LTD,H
RENUKA,EQ,SHREE RENUKA SUGARS LTD,H
RHFL,EQ,RELIANCE HOME FINANCE LTD,H
RMCL,BE,RADHA MADHAV CO. LTD.,H
RMDRIP,SM,R M DRIP & SPRINK SYS LTD,H
RNAVAL,BZ,RELIANCE NAVAL & ENGG LTD,H
ROHITFERRO,BE,ROHIT FERRO-TECH LIMITED,H
ROLLT,EQ,ROLLATAINERS LIMITED,H
ROLTA,EQ,ROLTA INDIA LTD,H
RPOWER,EQ,RELIANCE POWER LTD.,H
RSSOFTWARE,EQ,R. S. SOFTWARE (INDIA) LI,H
RTNINDIA,EQ,RATTANINDIA ENT LIMITED,H
RTNPOWER,EQ,RATTANINDIA POWER LIMITED,H
RUCHI,EQ,RUCHI SOYA INDUSTRIES LTD,H
RUCHINFRA,BE,RUCHI INFRASTRUCTURE LTD,H
SABEVENTS,BE,SAB EVENTS & GOVERNANCE,H
SADBHIN,EQ,SADBHAV INFRA PROJ LTD.,H
SAKHTISUG,BE,SAKHTISUG SUGARS LTD,H
SALONA,EQ,SALONA COTSPIN LTD.,H
SALSTEEL,BE,S.A.L. STEEL LTD.,H
SAMBHAAV,BE,SAMBHAAV MEDIA LTD,H
SANCO,EQ,SANCO INDUSTRIES LIMITED,H
SANGAMIND,EQ,SANGAM (INDIA) LTD,H
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,H
SASTASUNDR,EQ,SASTASUNDAR VENTURES LTD,H
SATHAISPAT,BE,SATHAVAHANA ISPAT LTD,H
SATINPP1,E1,SATIN RS.7.50 PPD UP,H
SCAPDVR,EQ,STAMPEDE CAPITAL LIMITED,H
SETUINFRA,BE,SETUBANDHAN INFRA LTD,H
SHEMAROO,BE,SHEMAROO ENTER. LTD.,H
SHIL,EQ,SOMANY HOM INNOVATION LTD,H
SHIRPUR-G,BZ,SHIRPUR GOLD REFINERY LTD,H
SHIVAMILLS,EQ,SHIVA MILLS LIMITED,H
SHRENIK,BE,SHRENIK LIMITED,H
SHYAMCENT,EQ,SHYAM CENTURY FERROUS LTD,H
SICAL,EQ,SICAL LOGISTICS LIMITED,H
SIGMA,SM,SIGMA SOLVE LIMITED,H
SILLYMONKS,BE,SILLY MONKS ENTERTAIN LTD,H
SIMBHALS,BE,SIMBHAOLI SUGARS LTD.,H
SIMPLEXINF,EQ,SIMPLEX INFRASTRUCTURES L,H
SINTEX,EQ,SINTEX INDUSTRIES LTD,H
SITINET,BE,SITI NETWORKS LIMITED,H
SKIL,EQ,SKIL INFRASTRUCTURE LTD.,H
SMVD,SM,SMVD POLY PACK LIMITED,H
SOLEX,SM,SOLEX ENERGY LIMITED,H
SOMATEX,EQ,SOMA TEXTILES & INDUST LT,H
SPCENET,BE,SPACENET ENTERS IND LTD,H
SPENTEX,BZ,SPENTEX IND. LTD,H
SPMLINFRA,BE,SPML INFRA LIMITED,H
SPTL,EQ,SINTEX PLASTICS TECH LTD,H
SPYL,BE,SHEKHAWATI POLY-YARN LTD.,H
SREIBNPNCD,Y3,SEC RED NCD SR. VIII,H
STAMPEDE,BE,STAMPEDE CAPITAL LTD,H
STCINDIA,EQ,THE STATE TRADING CORPN,H
SUBCAPCITY,BE,INTERNATIONAL CONST LTD,H
SUMEETINDS,BE,SUMEET IND LIMITED,H
SUNDARAM,EQ,SUNDARAM MULTI PAP LTD,H
SUPREMEINF,BZ,SUPREME INFRA. LTD,H
SURANASOL,EQ,SURANA SOLAR LIMITED,H
SURANAT&P,EQ,SURANA TELECOM AND POW LT,H
SUULD,EQ,SUUMAYA INDUSTRIES LTD,H
SUVIDHAA,EQ,SUVIDHAA INFOSERVE LTD,H
SYNCOM,BZ,SYNCOM HEALTHCARE LTD,H
TANTIACONS,BZ,TANTIA CONST LTD,H
TARAPUR,BE,TARAPUR TRANSFORMERS LTD,H
TECHIN,BE,TECHINDIA NIRMAN LIMITED,H
TECHNOFAB,BZ,TECHNOFAB ENG LTD,H
TERASOFT,EQ,TERA SOFTWARE LIMITED,H
TFL,BE,TRANSWARRANTY FIN. LTD.,H
TGBHOTELS,BE,TGB BANQUETS&HOTELS LTD,H
THOMASCOTT,BE,THOMAS SCOTT (INDIA) LTD,H
TIJARIA,EQ,TIJARIA POLYPIPES LTD,H
TIPSINDLTD,EQ,TIPS INDUSTRIES LIMITED,H
TIRUPATIFL,BE,TIRUPATI FORGE LIMITED,H
TMRVL,EQ,THE MANDHANA RET VENT LTD,H
TOTAL,EQ,TOTAL TRANSPORT SYS LTD,H
TRIDENT,EQ,TRIDENT LIMITED,H
TTML,EQ,TATA TELESERV(MAHARASTRA),H
UGARSUGAR,EQ,THE UGAR SUGAR WORKS LTD,H
UJAAS,EQ,UJAAS ENERGY LIMITED,H
UMESLTD,BE,USHA MARTIN EDU & SOL LTD,H
UNITECH,BZ,UNITECH LIMITED,H
URJA,EQ,URJA GLOBAL LIMITED,H
URJAPP,X1,URJA RS.0.25 PPD UP,H
VAKRANGEE,EQ,VAKRANGEE LIMITED,H
VICEROY,BE,VICEROY HOTELS LIMITED,H
VIDEOIND,BZ,VIDEOCON INDUSTRIES LIMIT,H
VIJIFIN,BE,VIJI FINANCE LIMITED,H
VIKASECO,BE,VIKAS ECOTECH LIMITED,H
VIKASLIFE,EQ,VIKAS LIFECARE LIMITED,H
VIKASWSP,EQ,VIKAS WSP LIMITED,H
VISESHINFO,BE,VISESH INFOTECNICS LTD,H
VISHAL,EQ,VISHAL FABRICS LIMITED,H
VIVIDHA,BE,VISAGAR POLYTEX LTD,H
WIPL,BE,THE WESTERN INDIA PLY LTD,H
WSI,BE,W.S.INDUSTRIES (I) LTD.,H
ZUARIGLOB,EQ,ZUARI GLOBAL LIMITED,H
5PAISA,EQ,5PAISA CAPITAL LIMITED,L
AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,L
AJOONI,BE,AJOONI BIOTECH LIMITED,L
ALCHEM,BZ,ALCHEMIST LTD,L
ANTGRAPHIC,BE,ANTARCTICA LTD,L
ARCOTECH,BZ,ARCOTECH LIMITED,L
ARVEE,BE,ARVEE LABORATORIES I LTD,L
ATNINTER,BE,ATN INTERNATIONAL LTD,L
AUTOLITIND,BZ,AUTOLITE (INDIA) LIMITED,L
BALAXI,EQ,BALAXI PHARMA LTD,L
BHANDARI,EQ,BHANDARI HOSIERY EXP LTD,L
BILENERGY,BZ,BIL ENERGY SYSTEMS LTD,L
BLUECOAST,BE,BLUE COAST HOTELS LIMITED,L
BOHRA,SM,BOHRA INDUSTRIES LIMITED,L
BRIGHT,SM,BRIGHT SOLAR LIMITED,L
BURNPUR,BE,BURNPUR CEMENT LTD.,L
CASTEXTECH,BE,CASTEX TECHNOLOGIES LTD.,L
CCCL,BE,CONS. CONST. CONSORT LTD,L
CINEVISTA,BE,CINEVISTA LIMITED,L
CMMIPL,SM,CMM INFRAPROJECTS LIMITED,L
CTE,EQ,CAMBRIDGE TECH ENTER LTD,L
DALALSTCOM,BE,DSJ COMMUNICATIONS LTD.,L
DBSTOCKBRO,BE,DB (INT) STOCK BROKERS,L
DQE,BZ,DQ ENTERTAINMENT INT LTD,L
EASTSILK,BE,EASTERN SILK INDUSTRIES L,L
EASUNREYRL,BZ,EASUN REYROLLE LTD,L
GANESHHOUC,EQ,GANESH HOUSING CORP LTD,L
GAYAHWS,BE,GAYATRI HIGHWAYS LIMITED,L
GIRIRAJ,SM,GIRIRAJ CIVIL DEVP LTD,L
GOENKA,BZ,GOENKA DIAMOND&JEWELS LTD,L
GTLINFRA,EQ,GTL INFRA.LTD,L
HAVISHA,BE,SRI HAVISHA HOSP & INFR L,L
HUDCO,N6,BOND 7.03% PA TAX FREE S1,L
INDSWFTLTD,BE,IND-SWIFT LIMITED,L
JYOTISTRUC,BZ,JYOTI STRUCTURES LTD,L
KAVVERITEL,BE,KAVVERI TEL. LTD.,L
KSERASERA,BZ,KSS LIMITED,L
LCCINFOTEC,BE,LCC INFOTECH LTD,L
LGBFORGE,EQ,LGB FORGE LIMITED,L
LYKALABS,BE,LYKA LABS LTD.,L
MAGMA,EQ,MAGMA FINCORP LIMITED,L
MAGNUM,BE,MAGNUM VENTURES LTD.,L
MANGTIMBER,EQ,MANGALAM TIMBER PRODUCTS,L
MBECL,BE,MCNALLY BH. ENG. CO.LTD,L
NATNLSTEEL,BE,NATIONAL STEEL & AGRO IND,L
OILCOUNTUB,BE,OIL COUNTRY TUBULAR LTD.,L
OISL,BZ,OCL IRON AND STEEL LTD,L
OMKARCHEM,BE,OMKAR SPL CHEM LTD,L
ONWARDTEC,BE,ONWARD TECHNOLOGIES LTD.,L
OPTOCIRCUI,BE,OPTO CIRCUITS (I) LTD,L
PENTAGOLD,SM,PENTA GOLD LIMITED,L
PRADIP,BE,PRADIP OVERSEAS LTD,L
PRAKASHSTL,BE,PRAKASH STEELAGE LTD,L
PREMIER,BE,PREMIER LIMITED,L
QUINTEGRA,BE,QUINTEGRA SOLUTIONS LTD.,L
RAJRAYON,BZ,RAJ RAYON INDUSTRIES LTD,L
RHFL,N8,UNS RED NCD 9.40% SR. IV,L
RKDL,EQ,RAVI KUMAR DIST. LTD.,L
ROLLT,EQ,ROLLATAINERS LIMITED,L
SABEVENTS,BE,SAB EVENTS & GOVERNANCE,L
SAGARDEEP,BE,SAGARDEEP ALLOYS LIMITED,L
SDBL,BE,SOM DIST & BREW LTD,L
SECL,SM,SALASAR EXTERIOR CONT LTD,L
SECURCRED,SM,SECUR CREDENTIALS LIMITED,L
SEPOWER,BE,S.E. POWER LIMITED,L
SERVOTECH,SM,SERVOTECH POWER SYS LTD.,L
SETUINFRA,BE,SETUBANDHAN INFRA LTD,L
SHAHALLOYS,BE,SHAH ALLOYS LIMITED,L
SHIVAMAUTO,BE,SHIVAM AUTO.LTD,L
SHREYAS,EQ,SHREYAS SHIPPING & LOGIST,L
SILLYMONKS,BE,SILLY MONKS ENTERTAIN LTD,L
SIMBHALS,BE,SIMBHAOLI SUGARS LTD.,L
SKIL,EQ,SKIL INFRASTRUCTURE LTD.,L
SMPL,BZ,SPLENDID METAL PRODUCTS L,L
SPYL,BE,SHEKHAWATI POLY-YARN LTD.,L
STAMPEDE,BE,STAMPEDE CAPITAL LTD,L
SUPREMEENG,BE,SUPREME ENGINEERING LTD,L
SUPREMEINF,BZ,SUPREME INFRA. LTD,L
SUZLON,EQ,SUZLON ENERGY LIMITED,L
TECHIN,BE,TECHINDIA NIRMAN LIMITED,L
THOMASCOOK,EQ,THOMAS COOK (INDIA) LTD,L
THOMASCOTT,BE,THOMAS SCOTT (INDIA) LTD,L
TIDEWATER,EQ,TIDE WATER OIL LTD,L
TRANSWIND,SM,TRANSWIND INFRA LIMITED,L
TVVISION,BE,TV VISION LIMITED,L
UNIINFO,SM,UNIINFOTELECOMSERVILTD,L
UNITEDPOLY,SM,UNITED POLYFAB GUJ. LTD.,L
UTTAMSTL,EQ,UTTAM GALVA STEELS LTD,L
VIVIDHA,BE,VISAGAR POLYTEX LTD,L
ZENITHSTL,BE,ZENITH STEEL PIP IND LTD,L
ZICOM,BZ,ZICOM ELECT SEC SYS LTD,L
